kestrel_call,confidence,depth_score,haplo_count,flag,is_frameshift,vntr_coverage_mean,vntr_coverage_median,analysis_time_seconds,pair_id,condition,coverage_fraction
Insertion,High_Precision*,0.0088218279984573,273.0,Not flagged,True,354.08,190.0,,pair_4023,mutated,100
,Negative,,,,False,372.94,104.0,,pair_4024,normal,100
Insertion,High_Precision*,0.0220967426072197,120.0,Not flagged,True,370.37,106.0,,pair_4024,mutated,100
,Negative,,,,False,373.17,130.0,,pair_4025,normal,100
Insertion,High_Precision*,0.0090008139033848,294.0,Not flagged,True,357.26,130.0,,pair_4025,mutated,100
,Negative,,,,False,353.74,127.0,,pair_4026,normal,100
Insertion,High_Precision,0.0087320018578727,237.0,Not flagged,True,367.21,140.0,,pair_4026,mutated,100
,Negative,,,,False,346.66,108.0,,pair_4027,normal,100
Insertion,High_Precision*,0.0120162079083414,120.0,Not flagged,True,381.54,119.0,,pair_4027,mutated,100
,Negative,,,,False,383.47,173.0,,pair_4028,normal,100
Insertion,High_Precision*,0.0326147816349384,272.0,Not flagged,True,355.4,167.0,,pair_4028,mutated,100
,Negative,,,,False,323.91,132.0,,pair_4029,normal,100
Insertion,High_Precision*,0.0339344907017248,252.0,Not flagged,True,359.48,153.0,,pair_4029,mutated,100
,Negative,,,,False,375.17,149.0,,pair_4030,normal,100
Insertion,High_Precision*,0.0146024878312601,386.0,Not flagged,True,362.32,148.0,,pair_4030,mutated,100
,Negative,,,,False,377.59,112.0,,pair_4031,normal,100
Insertion,High_Precision*,0.0117912029676735,349.0,Not flagged,True,363.57,114.0,,pair_4031,mutated,100
,Negative,,,,False,348.34,137.0,,pair_4032,normal,100
Insertion,High_Precision*,0.0220205609848965,24.0,Not flagged,True,353.84,144.0,,pair_4032,mutated,100
,Negative,,,,False,371.16,126.0,,pair_4033,normal,100
Insertion,High_Precision*,0.0321118045553955,345.0,Not flagged,True,345.58,120.0,,pair_4033,mutated,100
,Negative,,,,False,361.45,141.5,,pair_4034,normal,100
Insertion,High_Precision*,0.0269179718608972,384.0,Not flagged,True,364.56,142.0,,pair_4034,mutated,100
,Negative,,,,False,336.89,144.0,,pair_4035,normal,100
Insertion,High_Precision*,0.013818475481179,383.0,Not flagged,True,371.8,154.5,,pair_4035,mutated,100
,Negative,,,,False,314.77,111.5,,pair_4036,normal,100
Insertion,High_Precision*,0.0229239766081871,391.0,Not flagged,True,377.47,128.0,,pair_4036,mutated,100
,Negative,,,,False,357.51,183.0,,pair_4037,normal,100
Insertion,High_Precision*,0.0588651228566377,384.0,Not flagged,True,350.33,190.0,,pair_4037,mutated,100
,Negative,,,,False,346.09,106.5,,pair_4038,normal,100
Insertion,High_Precision*,0.0257591623036649,390.0,Not flagged,True,375.01,120.0,,pair_4038,mutated,100
,Negative,,,,False,371.8,111.0,,pair_4039,normal,100
Insertion,High_Precision*,0.0098549955204565,371.0,Not flagged,True,369.07,106.0,,pair_4039,mutated,100
,Negative,,,,False,374.24,122.0,,pair_4040,normal,100
,Negative,,,,False,372.55,134.0,,pair_4040,mutated,100
,Negative,,,,False,398.65,147.0,,pair_4041,normal,100
Insertion,High_Precision*,0.0083991475492039,19.0,Not flagged,True,370.39,143.0,,pair_4041,mutated,100
,Negative,,,,False,362.13,149.0,,pair_4042,normal,100
Insertion,High_Precision*,0.0167941220572799,15.0,Not flagged,True,348.07,148.0,,pair_4042,mutated,100
,Negative,,,,False,355.16,188.0,,pair_4043,normal,100
Insertion,High_Precision*,0.0223742933650699,9.0,Not flagged,True,355.77,213.0,,pair_4043,mutated,100
,Negative,,,,False,384.49,175.0,,pair_4044,normal,100
Insertion,High_Precision*,0.0078800027649132,10.0,Not flagged,True,429.61,189.5,,pair_4044,mutated,100
,Negative,,,,False,332.14,105.0,,pair_4045,normal,100
,Negative,,,,False,354.16,126.0,,pair_4045,mutated,100
,Negative,,,,False,374.12,127.0,,pair_4046,normal,100
,Negative,,,,False,360.76,114.0,,pair_4046,mutated,100
,Negative,,,,False,363.9,127.0,,pair_4047,normal,100
Insertion,High_Precision*,0.0300645429939621,42.0,Not flagged,True,352.95,124.0,,pair_4047,mutated,100
,Negative,,,,False,350.59,158.0,,pair_4048,normal,100
Insertion,High_Precision*,0.0419041068972293,42.0,Not flagged,True,327.81,143.0,,pair_4048,mutated,100
,Negative,,,,False,369.69,152.0,,pair_4049,normal,100
Insertion,High_Precision*,0.0182972622380009,14.0,Not flagged,True,306.27,132.0,,pair_4049,mutated,100
,Negative,,,,False,375.57,121.0,,pair_4050,normal,100
Insertion,High_Precision*,0.0094488188976377,77.0,Not flagged,True,328.0,111.0,,pair_4050,mutated,100
,Negative,,,,False,407.93,143.0,,pair_4051,normal,100
Insertion,High_Precision*,0.0191652077766516,344.0,Not flagged,True,358.86,139.0,,pair_4051,mutated,100
,Negative,,,,False,344.4,167.0,,pair_4052,normal,100
Insertion,High_Precision*,0.0400403283883047,317.0,Not flagged,True,339.71,161.0,,pair_4052,mutated,100
,Negative,,,,False,360.82,121.5,,pair_4053,normal,100
Insertion,High_Precision*,0.0059689061632426,106.0,Not flagged,True,371.41,123.0,,pair_4053,mutated,100
,Negative,,,,False,367.0,171.0,,pair_4054,normal,100
Insertion,High_Precision*,0.0129721480351011,41.0,Not flagged,True,353.01,156.0,,pair_4054,mutated,100
,Negative,,,,False,373.31,129.0,,pair_4055,normal,100
Insertion,High_Precision*,0.0157100530558809,237.0,Not flagged,True,365.16,138.0,,pair_4055,mutated,100
,Negative,,,,False,296.64,167.0,,pair_4056,normal,100
Insertion,High_Precision*,0.0178200502897124,105.0,Not flagged,True,358.22,214.0,,pair_4056,mutated,100
,Negative,,,,False,365.14,123.0,,pair_4057,normal,100
Insertion,High_Precision*,0.0197625623184247,119.0,Not flagged,True,369.38,118.0,,pair_4057,mutated,100
,Negative,,,,False,372.18,155.0,,pair_4058,normal,100
,Negative,,,,False,337.08,135.0,,pair_4058,mutated,100
,Negative,,,,False,374.4,106.0,,pair_4059,normal,100
Insertion,High_Precision*,0.0357257977866122,289.0,Not flagged,True,379.24,110.0,,pair_4059,mutated,100
,Negative,,,,False,420.99,178.0,,pair_4060,normal,100
Insertion,High_Precision*,0.0340607320170881,265.0,Not flagged,True,422.83,172.0,,pair_4060,mutated,100
,Negative,,,,False,342.13,171.0,,pair_4061,normal,100
Insertion,High_Precision*,0.0256126547004343,266.0,Not flagged,True,362.94,180.0,,pair_4061,mutated,100
,Negative,,,,False,351.57,139.0,,pair_4062,normal,100
Insertion,High_Precision*,0.030324074074074,275.0,Not flagged,True,357.64,139.0,,pair_4062,mutated,100
,Negative,,,,False,365.31,149.0,,pair_4063,normal,100
Insertion,High_Precision*,0.0118992810851011,238.0,Not flagged,True,362.34,128.0,,pair_4063,mutated,100
,Negative,,,,False,355.14,169.0,,pair_4064,normal,100
Insertion,High_Precision*,0.02171552660152,278.0,Not flagged,True,355.84,149.0,,pair_4064,mutated,100
,Negative,,,,False,373.75,119.0,,pair_4065,normal,100
Insertion,High_Precision*,0.0135777952246801,245.0,Not flagged,True,369.86,123.0,,pair_4065,mutated,100
,Negative,,,,False,354.12,137.0,,pair_4066,normal,100
Insertion,High_Precision*,0.0263074884865308,131.0,Not flagged,True,354.78,138.0,,pair_4066,mutated,100
,Negative,,,,False,375.09,116.0,,pair_4067,normal,100
Insertion,High_Precision*,0.0061995115536351,228.0,Not flagged,True,370.79,112.0,,pair_4067,mutated,100
,Negative,,,,False,382.83,120.0,,pair_4068,normal,100
Insertion,High_Precision*,0.0091600901916572,20.0,Not flagged,True,341.42,115.0,,pair_4068,mutated,100
,Negative,,,,False,357.76,155.0,,pair_4069,normal,100
Insertion,High_Precision*,0.0190277912268809,257.0,Not flagged,True,349.0,148.5,,pair_4069,mutated,100
,Negative,,,,False,377.51,151.0,,pair_4070,normal,100
,Negative,,,,False,357.12,141.0,,pair_4070,mutated,100
,Negative,,,,False,375.23,166.0,,pair_4071,normal,100
Insertion,High_Precision*,0.0094681708299758,8.0,Not flagged,True,370.15,154.0,,pair_4071,mutated,100
,Negative,,,,False,371.65,119.0,,pair_4072,normal,100
Insertion,High_Precision*,0.0058508528361761,15.0,Not flagged,True,326.16,113.0,,pair_4072,mutated,100
,Negative,,,,False,363.65,128.0,,pair_4073,normal,100
,Negative,,,,False,358.46,137.0,,pair_4073,mutated,100
,Negative,,,,False,374.22,133.0,,pair_4074,normal,100
,Negative,,,,False,369.14,116.0,,pair_4074,mutated,100
,Negative,,,,False,366.25,129.0,,pair_4075,normal,100
,Negative,,,,False,362.15,128.0,,pair_4075,mutated,100
,Negative,,,,False,378.69,98.0,,pair_4076,normal,100
,Negative,,,,False,372.19,102.0,,pair_4076,mutated,100
,Negative,,,,False,371.13,149.0,,pair_4077,normal,100
Insertion,High_Precision,0.0053112248202603,16.0,Not flagged,True,331.63,137.0,,pair_4077,mutated,100
,Negative,,,,False,351.55,142.0,,pair_4078,normal,100
,Negative,,,,False,360.91,144.0,,pair_4078,mutated,100
,Negative,,,,False,367.49,134.0,,pair_4079,normal,100
Insertion,High_Precision*,0.009829894032348,6.0,Not flagged,True,360.24,125.0,,pair_4079,mutated,100
,Negative,,,,False,366.92,128.0,,pair_4080,normal,100
,Negative,,,,False,371.85,126.0,,pair_4080,mutated,100
,Negative,,,,False,366.75,131.0,,pair_4081,normal,100
,Negative,,,,False,317.6,123.0,,pair_4081,mutated,100
,Negative,,,,False,352.2,136.0,,pair_4082,normal,100
Deletion,High_Precision*,0.0102898078801693,1.0,Not flagged,True,351.12,129.0,,pair_4082,mutated,100
,Negative,,,,False,351.19,179.0,,pair_4083,normal,100
Deletion,High_Precision*,0.0298775618844823,18.0,Not flagged,True,335.92,173.0,,pair_4083,mutated,100
,Negative,,,,False,380.59,136.0,,pair_4084,normal,100
Deletion,High_Precision*,0.0225168145043376,60.0,Not flagged,True,349.14,130.0,,pair_4084,mutated,100
,Negative,,,,False,362.32,113.0,,pair_4085,normal,100
Deletion,High_Precision*,0.0255973481883891,12.0,Not flagged,True,377.14,129.0,,pair_4085,mutated,100
,Negative,,,,False,366.88,128.0,,pair_4086,normal,100
,Negative,,,,False,375.76,133.0,,pair_4086,mutated,100
,Negative,,,,False,369.4,125.0,,pair_4087,normal,100
Deletion,High_Precision*,0.0123118438251043,17.0,Not flagged,True,367.73,125.0,,pair_4087,mutated,100
,Negative,,,,False,354.24,146.0,,pair_4088,normal,100
Deletion,High_Precision,0.0082714382174206,29.0,Not flagged,True,363.3,153.0,,pair_4088,mutated,100
,Negative,,,,False,350.98,129.0,,pair_4089,normal,100
Deletion,High_Precision*,0.0075946620375393,17.0,Not flagged,True,363.09,147.0,,pair_4089,mutated,100
,Negative,,,,False,358.76,144.0,,pair_4090,normal,100
Insertion,High_Precision*,0.0263232061326869,99.0,Not flagged,True,354.41,144.0,,pair_4090,mutated,100
,Negative,,,,False,376.65,136.0,,pair_4091,normal,100
,Negative,,,,False,374.69,139.0,,pair_4091,mutated,100
,Negative,,,,False,373.56,122.5,,pair_4092,normal,100
Insertion,High_Precision*,0.032792172884636,100.0,Not flagged,True,359.01,123.0,,pair_4092,mutated,100
,Negative,,,,False,355.34,153.0,,pair_4093,normal,100
Insertion,High_Precision*,0.0130855945165127,339.0,Not flagged,True,355.55,159.0,,pair_4093,mutated,100
,Negative,,,,False,359.98,124.0,,pair_4094,normal,100
Insertion,High_Precision*,0.0197852261633582,406.0,Not flagged,True,359.47,112.0,,pair_4094,mutated,100
,Negative,,,,False,347.19,175.0,,pair_4095,normal,100
Insertion,High_Precision*,0.040234375,242.0,Not flagged,True,331.12,186.0,,pair_4095,mutated,100
,Negative,,,,False,321.41,208.0,,pair_4096,normal,100
Insertion,High_Precision*,0.2817574021012416,193.0,Not flagged,True,331.56,188.0,,pair_4096,mutated,100
,Negative,,,,False,372.7,149.0,,pair_4097,normal,100
Insertion,High_Precision*,0.0095747676710785,332.0,Not flagged,True,288.61,128.0,,pair_4097,mutated,100
,Negative,,,,False,325.82,124.0,,pair_4098,normal,100
Insertion,High_Precision*,0.0092276144907723,382.0,Not flagged,True,373.93,128.0,,pair_4098,mutated,100
,Negative,,,,False,350.17,148.0,,pair_4099,normal,100
Insertion,High_Precision*,0.0238648363252375,92.0,Not flagged,True,351.39,125.0,,pair_4099,mutated,100
