Sample,runtime,version,assembly,pipeline,cov_mean,cov_median,cov_stdev,cov_min,cov_max,cov_region_length,cov_uncovered_bases,cov_percent_uncovered
sample_d54b9,19.73 seconds,2.0.0-beta.3,hg19,BWA,153.85,100.00,110.93,19,391,1501,0,0.00
sample_4fc86,18.75 seconds,2.0.0-beta.3,hg19,BWA,189.42,116.00,150.82,11,507,1501,0,0.00
sample_78b07,15.42 seconds,2.0.0-beta.3,hg19,BWA,208.78,131.00,196.11,12,744,1501,0,0.00
sample_ca520,19.72 seconds,2.0.0-beta.3,hg19,BWA,240.41,179.00,163.11,15,601,1501,0,0.00
sample_8401c,20.83 seconds,2.0.0-beta.3,hg19,BWA,319.60,258.00,211.69,21,770,1501,0,0.00
sample_18967,16.88 seconds,2.0.0-beta.3,hg19,BWA,244.72,117.00,288.68,14,981,1501,0,0.00
sample_29f0d,21.62 seconds,2.0.0-beta.3,hg19,BWA,346.86,185.00,321.92,27,1034,1501,0,0.00
sample_9f99c,19.89 seconds,2.0.0-beta.3,hg19,BWA,249.31,185.00,189.39,13,758,1501,0,0.00
sample_e4044,15.97 seconds,2.0.0-beta.3,hg19,BWA,94.71,63.00,73.09,9,273,1501,0,0.00
sample_3b1de,20.16 seconds,2.0.0-beta.3,hg19,BWA,202.24,132.00,154.18,8,541,1501,0,0.00
sample_1eeac,18.40 seconds,2.0.0-beta.3,hg19,BWA,99.37,91.00,47.10,6,202,1501,0,0.00
sample_2c3b8,16.64 seconds,2.0.0-beta.3,hg19,BWA,137.03,75.00,139.16,5,514,1501,0,0.00
sample_510af,18.00 seconds,2.0.0-beta.3,hg19,BWA,92.61,68.00,70.38,3,249,1501,0,0.00
sample_f7721,18.08 seconds,2.0.0-beta.3,hg19,BWA,143.73,98.00,95.19,11,358,1501,0,0.00
sample_98f4e,14.81 seconds,2.0.0-beta.3,hg19,BWA,190.49,95.00,202.92,10,675,1501,0,0.00
sample_24727,20.86 seconds,2.0.0-beta.3,hg19,BWA,176.84,140.00,110.57,18,413,1501,0,0.00
sample_f7bb8,22.01 seconds,2.0.0-beta.3,hg19,BWA,173.41,141.00,111.43,10,439,1501,0,0.00
sample_04e77,21.08 seconds,2.0.0-beta.3,hg19,BWA,292.96,171.00,285.19,13,1047,1501,0,0.00
sample_21e0b,18.70 seconds,2.0.0-beta.3,hg19,BWA,335.41,186.00,307.06,28,1002,1501,0,0.00
sample_5f485,19.03 seconds,2.0.0-beta.3,hg19,BWA,545.55,247.00,594.13,40,1993,1501,0,0.00
sample_c1b60,21.61 seconds,2.0.0-beta.3,hg19,BWA,189.75,148.00,113.68,15,467,1501,0,0.00
sample_95a88,28.09 seconds,2.0.0-beta.3,hg19,BWA,76.01,68.00,33.93,1,154,1501,0,0.00
sample_3da92,19.53 seconds,2.0.0-beta.3,hg19,BWA,102.45,72.00,76.79,8,278,1501,0,0.00
sample_3ad8e,17.28 seconds,2.0.0-beta.3,hg19,BWA,79.09,66.00,44.65,5,180,1501,0,0.00
sample_68d7e,18.86 seconds,2.0.0-beta.3,hg19,BWA,146.80,96.00,122.99,7,483,1501,0,0.00
sample_cde96,23.03 seconds,2.0.0-beta.3,hg19,BWA,434.90,268.00,377.62,32,1285,1501,0,0.00
sample_e5c82,19.69 seconds,2.0.0-beta.3,hg19,BWA,139.51,120.00,71.14,15,317,1501,0,0.00
sample_187d3,20.92 seconds,2.0.0-beta.3,hg19,BWA,214.02,169.00,133.36,17,521,1501,0,0.00
sample_e1985,22.33 seconds,2.0.0-beta.3,hg19,BWA,702.75,398.00,644.41,53,2216,1501,0,0.00
sample_616f0,16.92 seconds,2.0.0-beta.3,hg19,BWA,225.86,109.00,243.17,17,802,1501,0,0.00
sample_239b2,19.33 seconds,2.0.0-beta.3,hg19,BWA,129.91,117.00,83.90,4,382,1501,0,0.00
sample_28bca,17.11 seconds,2.0.0-beta.3,hg19,BWA,99.52,51.00,95.20,3,314,1501,0,0.00
sample_955de,22.19 seconds,2.0.0-beta.3,hg19,BWA,191.92,138.00,138.84,10,498,1501,0,0.00
sample_1edd7,20.39 seconds,2.0.0-beta.3,hg19,BWA,524.35,231.00,610.32,49,2133,1501,0,0.00
sample_17304,18.33 seconds,2.0.0-beta.3,hg19,BWA,105.75,75.00,78.27,6,283,1501,0,0.00
sample_d23a0,18.48 seconds,2.0.0-beta.3,hg19,BWA,150.39,100.00,115.25,12,455,1501,0,0.00
sample_62b1e,23.56 seconds,2.0.0-beta.3,hg19,BWA,282.49,222.00,183.76,25,711,1501,0,0.00
sample_4a754,19.14 seconds,2.0.0-beta.3,hg19,BWA,159.45,98.00,130.58,15,508,1501,0,0.00
sample_96a15,18.00 seconds,2.0.0-beta.3,hg19,BWA,127.26,103.00,88.81,6,387,1501,0,0.00
sample_73570,18.94 seconds,2.0.0-beta.3,hg19,BWA,242.43,153.00,212.46,10,820,1501,0,0.00
sample_fbe3f,21.50 seconds,2.0.0-beta.3,hg19,BWA,260.52,172.00,193.66,23,702,1501,0,0.00
sample_51fb2,14.85 seconds,2.0.0-beta.3,hg19,BWA,80.98,48.00,71.97,8,245,1501,0,0.00
sample_f0a52,19.02 seconds,2.0.0-beta.3,hg19,BWA,216.24,96.00,219.87,11,706,1501,0,0.00
sample_694fc,19.01 seconds,2.0.0-beta.3,hg19,BWA,72.66,68.00,38.28,4,177,1501,0,0.00
sample_35009,15.45 seconds,2.0.0-beta.3,hg19,BWA,85.73,52.00,70.08,7,242,1501,0,0.00
sample_f0498,16.23 seconds,2.0.0-beta.3,hg19,BWA,72.89,43.00,62.04,7,216,1501,0,0.00
sample_d11b9,20.63 seconds,2.0.0-beta.3,hg19,BWA,794.71,436.00,826.08,61,2916,1501,0,0.00
sample_77584,14.47 seconds,2.0.0-beta.3,hg19,BWA,57.74,39.00,42.09,5,157,1501,0,0.00
sample_f4d6d,20.70 seconds,2.0.0-beta.3,hg19,BWA,497.19,218.00,569.84,31,1844,1501,0,0.00
sample_ad1c6,19.07 seconds,2.0.0-beta.3,hg19,BWA,292.86,182.00,228.32,19,782,1501,0,0.00
sample_4c8e1,20.25 seconds,2.0.0-beta.3,hg19,BWA,218.22,133.00,208.50,10,813,1501,0,0.00
sample_7a8d7,18.23 seconds,2.0.0-beta.3,hg19,BWA,134.07,103.00,79.42,12,307,1501,0,0.00
sample_4fd6e,18.39 seconds,2.0.0-beta.3,hg19,BWA,174.05,163.00,82.78,9,372,1501,0,0.00
sample_8b200,20.57 seconds,2.0.0-beta.3,hg19,BWA,218.26,165.00,151.46,13,666,1501,0,0.00
sample_81160,16.96 seconds,2.0.0-beta.3,hg19,BWA,64.68,47.00,44.59,4,177,1501,0,0.00
sample_4323e,17.97 seconds,2.0.0-beta.3,hg19,BWA,68.24,48.00,49.76,9,180,1501,0,0.00
sample_04f45,21.94 seconds,2.0.0-beta.3,hg19,BWA,492.66,325.00,382.80,55,1347,1501,0,0.00
sample_27eb7,16.52 seconds,2.0.0-beta.3,hg19,BWA,173.54,121.00,138.32,6,539,1501,0,0.00
sample_d9f02,16.79 seconds,2.0.0-beta.3,hg19,BWA,92.38,66.00,60.62,9,234,1501,0,0.00
sample_5dc5e,17.38 seconds,2.0.0-beta.3,hg19,BWA,99.68,88.00,55.02,8,236,1501,0,0.00
sample_e43f7,17.55 seconds,2.0.0-beta.3,hg19,BWA,234.42,134.00,207.59,26,756,1501,0,0.00
sample_71ec1,19.92 seconds,2.0.0-beta.3,hg19,BWA,150.71,105.00,127.25,11,495,1501,0,0.00
sample_f46e5,18.80 seconds,2.0.0-beta.3,hg19,BWA,90.29,67.00,61.36,6,233,1501,0,0.00
sample_264a0,18.50 seconds,2.0.0-beta.3,hg19,BWA,183.49,150.00,104.99,14,425,1501,0,0.00
sample_8d991,17.28 seconds,2.0.0-beta.3,hg19,BWA,34.91,33.00,12.61,2,68,1501,0,0.00
sample_2dc19,23.88 seconds,2.0.0-beta.3,hg19,BWA,518.39,271.00,497.63,42,1708,1501,0,0.00
sample_80a27,17.77 seconds,2.0.0-beta.3,hg19,BWA,198.39,119.00,164.75,9,554,1501,0,0.00
sample_80dd8,31.07 seconds,2.0.0-beta.3,hg19,BWA,419.89,232.00,395.36,33,1321,1501,0,0.00
sample_559b1,14.85 seconds,2.0.0-beta.3,hg19,BWA,149.93,103.00,116.07,7,482,1501,0,0.00
sample_76d5e,31.19 seconds,2.0.0-beta.3,hg19,BWA,444.41,266.00,406.14,28,1501,1501,0,0.00
sample_79a84,16.57 seconds,2.0.0-beta.3,hg19,BWA,105.15,86.00,63.81,7,255,1501,0,0.00
sample_91779,19.66 seconds,2.0.0-beta.3,hg19,BWA,333.69,131.00,402.05,25,1404,1501,0,0.00
sample_bd64f,22.46 seconds,2.0.0-beta.3,hg19,BWA,106.12,46.00,120.56,4,379,1501,0,0.00
sample_7dcc2,22.09 seconds,2.0.0-beta.3,hg19,BWA,416.78,287.00,327.35,37,1149,1501,0,0.00
sample_f9f6a,19.26 seconds,2.0.0-beta.3,hg19,BWA,166.04,128.00,120.98,7,495,1501,0,0.00
sample_5a071,19.93 seconds,2.0.0-beta.3,hg19,BWA,128.42,143.00,45.48,6,192,1501,0,0.00
sample_0b385,22.44 seconds,2.0.0-beta.3,hg19,BWA,704.21,381.00,646.69,59,2155,1501,0,0.00
sample_02f0a,20.41 seconds,2.0.0-beta.3,hg19,BWA,419.88,170.00,512.21,26,1736,1501,0,0.00
sample_ef053,21.13 seconds,2.0.0-beta.3,hg19,BWA,590.42,304.00,567.25,39,1846,1501,0,0.00
sample_848aa,17.99 seconds,2.0.0-beta.3,hg19,BWA,88.06,56.00,66.34,10,246,1501,0,0.00
sample_0b0f2,21.67 seconds,2.0.0-beta.3,hg19,BWA,315.39,174.00,284.11,20,922,1501,0,0.00
sample_6b16f,18.31 seconds,2.0.0-beta.3,hg19,BWA,278.64,251.00,159.38,33,671,1501,0,0.00
sample_d869d,16.25 seconds,2.0.0-beta.3,hg19,BWA,76.53,56.00,46.63,8,191,1501,0,0.00
sample_2f653,19.66 seconds,2.0.0-beta.3,hg19,BWA,68.48,66.50,37.94,1,148,1501,7,0.47
sample_f20c5,19.37 seconds,2.0.0-beta.3,hg19,BWA,393.64,206.00,389.01,30,1332,1501,0,0.00
sample_3d237,18.48 seconds,2.0.0-beta.3,hg19,BWA,150.21,153.00,64.48,14,267,1501,0,0.00
sample_c0cbb,21.06 seconds,2.0.0-beta.3,hg19,BWA,273.87,165.00,218.04,30,749,1501,0,0.00
sample_7d7b2,20.02 seconds,2.0.0-beta.3,hg19,BWA,104.78,58.00,97.16,5,375,1501,0,0.00
sample_2c1eb,21.20 seconds,2.0.0-beta.3,hg19,BWA,74.44,73.00,35.79,1,164,1501,0,0.00
sample_e804e,36.18 seconds,2.0.0-beta.3,hg19,BWA,653.14,290.00,725.56,48,2323,1501,0,0.00
sample_00a12,19.52 seconds,2.0.0-beta.3,hg19,BWA,347.39,251.00,236.82,19,911,1501,0,0.00
sample_0dc86,19.38 seconds,2.0.0-beta.3,hg19,BWA,240.78,161.00,183.88,13,642,1501,0,0.00
sample_0fca8,18.47 seconds,2.0.0-beta.3,hg19,BWA,145.63,91.00,119.25,17,423,1501,0,0.00
sample_532c7,18.06 seconds,2.0.0-beta.3,hg19,BWA,175.44,137.00,128.44,4,536,1501,0,0.00
sample_f71c4,15.71 seconds,2.0.0-beta.3,hg19,BWA,89.67,74.00,52.81,8,219,1501,0,0.00
sample_54c4b,18.32 seconds,2.0.0-beta.3,hg19,BWA,84.50,56.00,61.87,4,220,1501,0,0.00
sample_3e17a,17.02 seconds,2.0.0-beta.3,hg19,BWA,155.88,95.00,129.81,8,450,1501,0,0.00
sample_6a9f1,16.66 seconds,2.0.0-beta.3,hg19,BWA,83.72,42.00,88.42,6,288,1501,0,0.00
sample_74046,25.88 seconds,2.0.0-beta.3,hg19,BWA,122.57,48.00,142.76,3,483,1501,0,0.00
sample_b26d0,19.71 seconds,2.0.0-beta.3,hg19,BWA,197.30,130.00,170.28,8,678,1501,0,0.00
sample_55153,24.37 seconds,2.0.0-beta.3,hg19,BWA,213.01,113.00,231.52,5,835,1501,0,0.00
sample_25abc,18.18 seconds,2.0.0-beta.3,hg19,BWA,87.71,56.00,67.80,7,250,1501,0,0.00
sample_19021,21.34 seconds,2.0.0-beta.3,hg19,BWA,182.86,157.00,94.79,20,396,1501,0,0.00
sample_bad9d,19.98 seconds,2.0.0-beta.3,hg19,BWA,210.46,133.00,179.67,8,688,1501,0,0.00
sample_938fd,19.62 seconds,2.0.0-beta.3,hg19,BWA,57.27,44.00,34.08,5,141,1501,0,0.00
sample_98fa0,16.40 seconds,2.0.0-beta.3,hg19,BWA,65.11,45.00,46.63,5,166,1501,0,0.00
sample_5d6f3,15.80 seconds,2.0.0-beta.3,hg19,BWA,67.10,56.00,40.92,3,164,1501,0,0.00
sample_768ea,21.40 seconds,2.0.0-beta.3,hg19,BWA,87.34,56.00,64.74,5,259,1501,0,0.00
sample_4184d,16.92 seconds,2.0.0-beta.3,hg19,BWA,108.32,107.00,48.06,3,214,1501,0,0.00
sample_bb4cf,21.96 seconds,2.0.0-beta.3,hg19,BWA,274.86,141.00,286.34,12,1008,1501,0,0.00
sample_48c48,16.87 seconds,2.0.0-beta.3,hg19,BWA,173.92,90.00,171.87,17,610,1501,0,0.00
sample_b83d9,24.79 seconds,2.0.0-beta.3,hg19,BWA,621.60,423.00,463.66,54,1761,1501,0,0.00
sample_0db9d,19.43 seconds,2.0.0-beta.3,hg19,BWA,120.66,94.00,76.86,10,284,1501,0,0.00
sample_4a1c0,20.02 seconds,2.0.0-beta.3,hg19,BWA,372.65,158.00,436.20,26,1473,1501,0,0.00
sample_4a62f,21.95 seconds,2.0.0-beta.3,hg19,BWA,428.96,219.00,398.96,38,1378,1501,0,0.00
sample_9758f,19.51 seconds,2.0.0-beta.3,hg19,BWA,380.02,199.00,362.44,36,1206,1501,0,0.00
sample_1c737,22.92 seconds,2.0.0-beta.3,hg19,BWA,501.09,225.00,543.85,39,1767,1501,0,0.00
sample_1e125,18.50 seconds,2.0.0-beta.3,hg19,BWA,153.84,135.00,85.91,13,350,1501,0,0.00
sample_aaf55,21.04 seconds,2.0.0-beta.3,hg19,BWA,62.53,40.00,46.92,3,175,1501,0,0.00
sample_b4424,20.32 seconds,2.0.0-beta.3,hg19,BWA,291.31,184.00,220.23,27,767,1501,0,0.00
sample_8e6de,18.76 seconds,2.0.0-beta.3,hg19,BWA,245.55,108.00,284.07,14,915,1501,0,0.00
sample_8a632,19.77 seconds,2.0.0-beta.3,hg19,BWA,84.77,94.00,32.89,1,139,1501,0,0.00
sample_1eff0,20.67 seconds,2.0.0-beta.3,hg19,BWA,209.58,169.00,132.32,11,510,1501,0,0.00
sample_300a1,17.80 seconds,2.0.0-beta.3,hg19,BWA,292.94,112.00,363.41,19,1171,1501,0,0.00
sample_8601a,14.78 seconds,2.0.0-beta.3,hg19,BWA,66.17,42.00,50.83,5,186,1501,0,0.00
sample_2a1be,21.06 seconds,2.0.0-beta.3,hg19,BWA,407.39,301.00,259.78,49,972,1501,0,0.00
sample_c3531,17.82 seconds,2.0.0-beta.3,hg19,BWA,157.97,85.00,146.94,14,521,1501,0,0.00
sample_f2423,13.73 seconds,2.0.0-beta.3,hg19,BWA,88.05,88.00,57.40,1,172,1501,4,0.27
sample_a2d38,15.98 seconds,2.0.0-beta.3,hg19,BWA,78.42,57.00,51.99,7,203,1501,0,0.00
sample_773cf,15.42 seconds,2.0.0-beta.3,hg19,BWA,49.76,39.00,28.21,2,126,1501,0,0.00
sample_12a41,22.78 seconds,2.0.0-beta.3,hg19,BWA,316.44,193.00,262.62,21,888,1501,0,0.00
sample_f7bd1,25.82 seconds,2.0.0-beta.3,hg19,BWA,44.00,33.00,29.50,2,122,1501,0,0.00
sample_89d06,23.49 seconds,2.0.0-beta.3,hg19,BWA,475.29,380.00,266.90,52,1096,1501,0,0.00
sample_90fa7,22.21 seconds,2.0.0-beta.3,hg19,BWA,173.44,132.00,135.90,5,552,1501,0,0.00
sample_df2c2,22.15 seconds,2.0.0-beta.3,hg19,BWA,105.15,65.00,85.44,5,309,1501,0,0.00
sample_f34aa,15.48 seconds,2.0.0-beta.3,hg19,BWA,165.14,100.00,154.25,13,569,1501,0,0.00
sample_347eb,14.00 seconds,2.0.0-beta.3,hg19,BWA,128.19,96.00,95.23,9,394,1501,0,0.00
sample_01954,19.43 seconds,2.0.0-beta.3,hg19,BWA,164.59,131.00,122.08,9,519,1501,0,0.00
sample_ca144,16.86 seconds,2.0.0-beta.3,hg19,BWA,148.45,120.00,78.47,15,334,1501,0,0.00
sample_92e8e,18.63 seconds,2.0.0-beta.3,hg19,BWA,155.53,123.00,102.86,8,436,1501,0,0.00
sample_ada57,20.65 seconds,2.0.0-beta.3,hg19,BWA,316.24,184.00,269.28,20,920,1501,0,0.00
sample_14a5b,25.28 seconds,2.0.0-beta.3,hg19,BWA,465.07,220.00,506.73,30,1655,1501,0,0.00
sample_340cc,21.84 seconds,2.0.0-beta.3,hg19,BWA,629.96,405.00,501.37,56,1727,1501,0,0.00
sample_dfa39,18.22 seconds,2.0.0-beta.3,hg19,BWA,140.07,123.00,72.10,4,338,1501,0,0.00
sample_b0de8,19.98 seconds,2.0.0-beta.3,hg19,BWA,255.62,122.00,259.29,15,832,1501,0,0.00
sample_9ac1f,23.00 seconds,2.0.0-beta.3,hg19,BWA,279.20,188.00,223.10,14,866,1501,0,0.00
sample_dbdbc,20.99 seconds,2.0.0-beta.3,hg19,BWA,209.30,163.00,144.27,12,572,1501,0,0.00
sample_45f26,16.06 seconds,2.0.0-beta.3,hg19,BWA,75.82,45.00,60.78,8,217,1501,0,0.00
sample_21c57,18.01 seconds,2.0.0-beta.3,hg19,BWA,121.59,91.00,85.70,6,374,1501,0,0.00
sample_5ff50,22.60 seconds,2.0.0-beta.3,hg19,BWA,185.53,163.00,100.60,8,433,1501,0,0.00
sample_2bc50,18.79 seconds,2.0.0-beta.3,hg19,BWA,208.35,127.00,199.86,12,746,1501,0,0.00
sample_953bf,21.56 seconds,2.0.0-beta.3,hg19,BWA,432.71,289.00,345.20,31,1297,1501,0,0.00
sample_55a00,17.61 seconds,2.0.0-beta.3,hg19,BWA,157.07,102.00,130.96,9,476,1501,0,0.00
sample_504af,16.62 seconds,2.0.0-beta.3,hg19,BWA,115.80,89.00,76.93,8,301,1501,0,0.00
sample_8b563,21.01 seconds,2.0.0-beta.3,hg19,BWA,234.16,195.00,132.55,16,535,1501,0,0.00
sample_bbb8f,18.57 seconds,2.0.0-beta.3,hg19,BWA,148.74,90.00,119.62,15,440,1501,0,0.00
sample_0b936,18.74 seconds,2.0.0-beta.3,hg19,BWA,124.14,87.00,90.11,7,326,1501,0,0.00
sample_e5401,17.51 seconds,2.0.0-beta.3,hg19,BWA,77.00,58.00,51.36,1,192,1501,0,0.00
sample_dc6e0,17.11 seconds,2.0.0-beta.3,hg19,BWA,206.62,128.00,167.34,17,566,1501,0,0.00
sample_da0f5,16.79 seconds,2.0.0-beta.3,hg19,BWA,107.96,103.00,61.02,4,274,1501,0,0.00
sample_0addb,15.49 seconds,2.0.0-beta.3,hg19,BWA,88.05,57.00,73.70,6,264,1501,0,0.00
sample_b7115,22.34 seconds,2.0.0-beta.3,hg19,BWA,192.61,150.00,139.87,17,593,1501,0,0.00
sample_6a7d3,16.83 seconds,2.0.0-beta.3,hg19,BWA,79.80,70.00,45.70,5,183,1501,0,0.00
sample_6cc63,19.99 seconds,2.0.0-beta.3,hg19,BWA,186.98,170.00,87.95,10,369,1501,0,0.00
sample_ab319,18.34 seconds,2.0.0-beta.3,hg19,BWA,138.89,127.00,72.34,9,313,1501,0,0.00
sample_71c2a,17.52 seconds,2.0.0-beta.3,hg19,BWA,133.88,54.00,149.03,13,515,1501,0,0.00
sample_d8e97,19.13 seconds,2.0.0-beta.3,hg19,BWA,158.28,143.00,89.97,8,395,1501,0,0.00
sample_49298,17.80 seconds,2.0.0-beta.3,hg19,BWA,193.93,149.00,114.69,20,439,1501,0,0.00
sample_c9ee6,18.33 seconds,2.0.0-beta.3,hg19,BWA,153.35,92.00,132.39,3,515,1501,0,0.00
sample_78565,18.00 seconds,2.0.0-beta.3,hg19,BWA,442.23,189.00,520.19,21,1767,1501,0,0.00
sample_43f90,20.93 seconds,2.0.0-beta.3,hg19,BWA,538.78,249.00,607.77,33,2154,1501,0,0.00
sample_bb62e,18.96 seconds,2.0.0-beta.3,hg19,BWA,235.87,189.00,140.49,17,543,1501,0,0.00
sample_5a25b,21.04 seconds,2.0.0-beta.3,hg19,BWA,343.08,291.00,189.97,24,783,1501,0,0.00
sample_58448,23.16 seconds,2.0.0-beta.3,hg19,BWA,438.23,322.00,327.91,32,1155,1501,0,0.00
sample_1864d,19.39 seconds,2.0.0-beta.3,hg19,BWA,235.35,172.00,157.43,24,606,1501,0,0.00
sample_585ff,17.44 seconds,2.0.0-beta.3,hg19,BWA,265.49,123.00,292.70,24,941,1501,0,0.00
sample_e464b,19.91 seconds,2.0.0-beta.3,hg19,BWA,177.67,187.00,68.64,8,309,1501,0,0.00
sample_909d4,15.27 seconds,2.0.0-beta.3,hg19,BWA,73.77,39.00,68.42,1,230,1501,0,0.00
sample_a1123,14.46 seconds,2.0.0-beta.3,hg19,BWA,50.17,34.00,34.68,3,142,1501,0,0.00
sample_b9147,18.04 seconds,2.0.0-beta.3,hg19,BWA,62.72,37.00,52.35,3,181,1501,0,0.00
sample_6e2f2,18.25 seconds,2.0.0-beta.3,hg19,BWA,203.37,158.00,112.12,29,449,1501,0,0.00
sample_7f98d,20.00 seconds,2.0.0-beta.3,hg19,BWA,147.05,109.00,112.08,5,464,1501,0,0.00
sample_1efce,18.61 seconds,2.0.0-beta.3,hg19,BWA,142.45,105.00,101.34,19,368,1501,0,0.00
sample_61985,19.89 seconds,2.0.0-beta.3,hg19,BWA,176.64,109.00,138.93,20,495,1501,0,0.00
sample_674c8,14.36 seconds,2.0.0-beta.3,hg19,BWA,59.82,43.00,40.82,2,157,1501,0,0.00
sample_f4744,19.15 seconds,2.0.0-beta.3,hg19,BWA,211.57,171.00,109.16,22,453,1501,0,0.00
sample_993a2,16.60 seconds,2.0.0-beta.3,hg19,BWA,112.61,62.00,113.01,5,396,1501,0,0.00
sample_fa9e3,23.95 seconds,2.0.0-beta.3,hg19,BWA,287.22,126.00,317.18,18,1021,1501,0,0.00
sample_48dee,19.27 seconds,2.0.0-beta.3,hg19,BWA,89.45,86.00,44.23,4,189,1501,0,0.00
sample_fb720,20.44 seconds,2.0.0-beta.3,hg19,BWA,266.23,130.00,300.94,12,1063,1501,0,0.00
sample_3d87c,14.45 seconds,2.0.0-beta.3,hg19,BWA,78.06,46.00,65.36,9,237,1501,0,0.00
sample_54c0c,21.83 seconds,2.0.0-beta.3,hg19,BWA,144.43,116.00,95.98,11,416,1501,0,0.00
sample_4860d,14.90 seconds,2.0.0-beta.3,hg19,BWA,85.84,48.00,75.15,4,255,1501,0,0.00
sample_a30a2,26.00 seconds,2.0.0-beta.3,hg19,BWA,161.90,126.00,101.99,15,393,1501,0,0.00
sample_a4398,17.96 seconds,2.0.0-beta.3,hg19,BWA,100.43,70.00,73.34,7,272,1501,0,0.00
sample_ab35a,17.79 seconds,2.0.0-beta.3,hg19,BWA,214.06,121.00,196.17,19,680,1501,0,0.00
sample_97944,19.81 seconds,2.0.0-beta.3,hg19,BWA,178.90,192.00,70.76,17,304,1501,0,0.00
sample_684de,19.75 seconds,2.0.0-beta.3,hg19,BWA,439.09,260.00,432.95,23,1532,1501,0,0.00
sample_a3d48,20.05 seconds,2.0.0-beta.3,hg19,BWA,85.31,65.00,54.74,7,212,1501,0,0.00
sample_831e5,19.23 seconds,2.0.0-beta.3,hg19,BWA,136.81,109.00,76.31,14,322,1501,0,0.00
sample_e3610,20.26 seconds,2.0.0-beta.3,hg19,BWA,155.05,110.00,96.94,7,390,1501,0,0.00
sample_ce527,18.68 seconds,2.0.0-beta.3,hg19,BWA,169.06,109.00,128.28,20,477,1501,0,0.00
sample_d2368,19.21 seconds,2.0.0-beta.3,hg19,BWA,163.74,66.00,189.40,12,627,1501,0,0.00
sample_61e1b,26.35 seconds,2.0.0-beta.3,hg19,BWA,84.94,54.00,66.49,5,251,1501,0,0.00
sample_635c3,18.53 seconds,2.0.0-beta.3,hg19,BWA,157.54,83.00,152.10,19,551,1501,0,0.00
sample_2aea3,16.75 seconds,2.0.0-beta.3,hg19,BWA,201.39,108.00,180.13,18,579,1501,0,0.00
sample_cdd5c,17.93 seconds,2.0.0-beta.3,hg19,BWA,218.19,106.00,217.36,15,697,1501,0,0.00
sample_0b2a6,20.42 seconds,2.0.0-beta.3,hg19,BWA,218.05,124.00,204.07,11,792,1501,0,0.00
sample_2a716,17.44 seconds,2.0.0-beta.3,hg19,BWA,90.51,72.00,60.24,10,229,1501,0,0.00
