kestrel_call,confidence,depth_score,haplo_count,flag,is_frameshift,vntr_coverage_mean,vntr_coverage_median,analysis_time_seconds,pair_id,condition,coverage_fraction,coverage_label,source_experiment
Insertion,High_Precision,0.0178217821782178,388.0,Not flagged,True,47.92,27.0,2.116282,pair_3001,mutated,12.5,ds12,dupC
,Negative,,,,False,26.13,15.0,1.690507,pair_3001,mutated,6.25,ds6,dupC
,Negative,,,,False,280.92,88.0,3.283853,pair_3002,normal,75.0,ds75,dupC
,Negative,,,,False,188.61,62.0,2.957392,pair_3002,normal,50.0,ds50,dupC
,Negative,,,,False,94.49,30.0,2.052051,pair_3002,normal,25.0,ds25,dupC
,Negative,,,,False,49.55,17.0,1.90177,pair_3002,normal,12.5,ds12,dupC
,Negative,,,,False,26.3,9.0,1.282328,pair_3002,normal,6.25,ds6,dupC
,Negative,,,,False,285.25,102.0,2.470753,pair_3002,mutated,75.0,ds75,dupC
Insertion,High_Precision,0.0053994600539946,378.0,Not flagged,True,192.42,73.0,2.465556,pair_3002,mutated,50.0,ds50,dupC
Insertion,High_Precision,0.0096436058700209,380.0,Not flagged,True,96.3,33.0,2.339061,pair_3002,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0127877237851662,382.0,Not flagged,True,48.88,18.0,2.300872,pair_3002,mutated,12.5,ds12,dupC
,Negative,,,,False,26.24,12.0,1.655872,pair_3002,mutated,6.25,ds6,dupC
,Negative,,,,False,249.95,173.0,3.040805,pair_3003,normal,75.0,ds75,dupC
,Negative,,,,False,168.78,121.0,2.970394,pair_3003,normal,50.0,ds50,dupC
,Negative,,,,False,87.72,63.0,2.392236,pair_3003,normal,25.0,ds25,dupC
,Negative,,,,False,44.7,32.0,1.784273,pair_3003,normal,12.5,ds12,dupC
,Negative,,,,False,23.8,18.0,1.614991,pair_3003,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0362840967575913,386.0,Not flagged,True,240.89,165.5,3.455855,pair_3003,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0369075912204669,386.0,Not flagged,True,161.09,111.0,3.017224,pair_3003,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0363475177304964,384.0,Not flagged,True,82.08,57.0,2.895452,pair_3003,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0270444301352221,388.0,Not flagged,True,41.29,30.0,2.264822,pair_3003,mutated,12.5,ds12,dupC
,Negative,,,,False,22.56,15.0,1.640267,pair_3003,mutated,6.25,ds6,dupC
,Negative,,,,False,266.31,117.0,2.520919,pair_3004,normal,75.0,ds75,dupC
,Negative,,,,False,179.62,75.0,2.354377,pair_3004,normal,50.0,ds50,dupC
,Negative,,,,False,91.99,42.0,2.145861,pair_3004,normal,25.0,ds25,dupC
,Negative,,,,False,47.97,23.0,1.881378,pair_3004,normal,12.5,ds12,dupC
,Negative,,,,False,25.32,12.0,1.777291,pair_3004,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0339920232052211,386.0,Not flagged,True,272.32,105.0,3.69818,pair_3004,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0346210399679187,386.0,Not flagged,True,186.84,72.0,3.592549,pair_3004,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0303461356092935,386.0,Not flagged,True,96.54,36.0,2.823879,pair_3004,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0487192365645404,389.0,Not flagged,True,48.22,18.0,2.208806,pair_3004,mutated,12.5,ds12,dupC
Insertion,High_Precision,0.0452039691289966,382.0,Not flagged,True,25.0,12.0,2.179074,pair_3004,mutated,6.25,ds6,dupC
,Negative,,,,False,283.33,98.0,2.731522,pair_3005,normal,75.0,ds75,dupC
,Negative,,,,False,194.38,67.0,1.961145,pair_3005,normal,50.0,ds50,dupC
,Negative,,,,False,97.2,33.0,1.96671,pair_3005,normal,25.0,ds25,dupC
,Negative,,,,False,49.2,16.0,1.88542,pair_3005,normal,12.5,ds12,dupC
,Negative,,,,False,26.19,8.0,1.683694,pair_3005,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0327040494069759,346.0,Not flagged,True,268.48,92.0,3.619044,pair_3005,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0346736292428198,357.0,Not flagged,True,182.33,64.0,3.50368,pair_3005,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0352097828378663,347.0,Not flagged,True,92.82,34.0,2.833599,pair_3005,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0333154218162278,357.0,Not flagged,True,47.73,15.0,2.115758,pair_3005,mutated,12.5,ds12,dupC
,Negative,,,,False,26.38,11.0,1.515911,pair_3005,mutated,6.25,ds6,dupC
,Negative,,,,False,265.33,113.0,3.258833,pair_3006,normal,75.0,ds75,dupC
,Negative,,,,False,182.7,76.0,2.670945,pair_3006,normal,50.0,ds50,dupC
,Negative,,,,False,94.22,39.0,2.703602,pair_3006,normal,25.0,ds25,dupC
,Negative,,,,False,47.26,20.0,2.105572,pair_3006,normal,12.5,ds12,dupC
,Negative,,,,False,25.26,11.0,1.867547,pair_3006,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0122353349531412,380.0,Not flagged,True,273.14,111.0,2.981279,pair_3006,mutated,75.0,ds75,dupC
Insertion,High_Precision,0.0115180535783615,380.0,Not flagged,True,182.89,75.0,2.297867,pair_3006,mutated,50.0,ds50,dupC
Insertion,High_Precision,0.0174358974358974,380.0,Not flagged,True,94.66,39.0,2.435229,pair_3006,mutated,25.0,ds25,dupC
,Negative,,,,False,47.88,21.0,1.93234,pair_3006,mutated,12.5,ds12,dupC
,Negative,,,,False,25.81,12.0,1.5942,pair_3006,mutated,6.25,ds6,dupC
,Negative,,,,False,276.46,131.0,2.441036,pair_3007,normal,75.0,ds75,dupC
,Negative,,,,False,188.5,88.0,2.184629,pair_3007,normal,50.0,ds50,dupC
,Negative,,,,False,94.33,42.0,1.784454,pair_3007,normal,25.0,ds25,dupC
,Negative,,,,False,47.56,18.0,1.561422,pair_3007,normal,12.5,ds12,dupC
,Negative,,,,False,26.09,10.0,1.477346,pair_3007,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0485114384205578,346.0,Not flagged,True,276.9,138.0,2.689085,pair_3007,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0493290143452105,346.0,Not flagged,True,187.3,91.0,2.317527,pair_3007,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0859098939929328,347.0,Not flagged,True,95.26,46.0,2.085749,pair_3007,mutated,25.0,ds25,dupC
Insertion,High_Precision*,0.0757375605460149,347.0,Not flagged,True,49.24,25.0,2.021039,pair_3007,mutated,12.5,ds12,dupC
Insertion,High_Precision,0.0765349032800672,346.0,Not flagged,True,26.94,14.0,1.798094,pair_3007,mutated,6.25,ds6,dupC
,Negative,,,,False,289.96,97.0,2.650711,pair_3008,normal,75.0,ds75,dupC
,Negative,,,,False,195.29,65.0,2.281607,pair_3008,normal,50.0,ds50,dupC
,Negative,,,,False,98.33,37.0,2.257478,pair_3008,normal,25.0,ds25,dupC
,Negative,,,,False,49.27,18.0,2.108741,pair_3008,normal,12.5,ds12,dupC
,Negative,,,,False,26.51,10.0,1.356416,pair_3008,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0145014301869221,387.0,Not flagged,True,257.05,82.0,3.578084,pair_3008,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0161681487469684,387.0,Not flagged,True,173.6,57.0,3.156591,pair_3008,mutated,50.0,ds50,dupC
Insertion,High_Precision,0.0142247510668563,377.0,Not flagged,True,89.01,28.0,2.973983,pair_3008,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.017174515235457,372.0,Not flagged,True,45.13,14.0,2.368666,pair_3008,mutated,12.5,ds12,dupC
,Negative,,,,False,24.49,7.0,1.425629,pair_3008,mutated,6.25,ds6,dupC
,Negative,,,,False,273.87,151.0,2.335175,pair_3009,normal,75.0,ds75,dupC
,Negative,,,,False,183.75,102.0,2.421762,pair_3009,normal,50.0,ds50,dupC
,Negative,,,,False,91.26,54.0,2.334574,pair_3009,normal,25.0,ds25,dupC
,Negative,,,,False,46.38,29.0,2.313612,pair_3009,normal,12.5,ds12,dupC
,Negative,,,,False,24.14,18.0,2.265111,pair_3009,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0133112582781456,379.0,Not flagged,True,248.86,141.0,3.584161,pair_3009,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0155223880597014,379.0,Not flagged,True,168.37,96.0,3.02019,pair_3009,mutated,50.0,ds50,dupC
Insertion,High_Precision,0.0133759233379916,378.0,Not flagged,True,85.37,47.0,2.870505,pair_3009,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0138390568939005,379.0,Not flagged,True,43.76,24.0,2.268928,pair_3009,mutated,12.5,ds12,dupC
,Negative,,,,False,23.54,13.0,2.108106,pair_3009,mutated,6.25,ds6,dupC
,Negative,,,,False,275.5,113.0,2.284843,pair_3010,normal,75.0,ds75,dupC
,Negative,,,,False,185.64,75.0,1.801875,pair_3010,normal,50.0,ds50,dupC
,Negative,,,,False,92.05,38.0,1.612692,pair_3010,normal,25.0,ds25,dupC
,Negative,,,,False,47.99,21.0,1.514431,pair_3010,normal,12.5,ds12,dupC
,Negative,,,,False,25.52,13.0,1.273078,pair_3010,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0373192653380226,357.0,Not flagged,True,251.31,102.0,3.152305,pair_3010,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0451740598439864,367.0,Not flagged,True,175.68,70.0,2.966489,pair_3010,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0447538538040775,365.0,Not flagged,True,89.69,35.0,2.226461,pair_3010,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0526014865637507,366.0,Not flagged,True,45.96,19.0,1.773166,pair_3010,mutated,12.5,ds12,dupC
Insertion,High_Precision,0.0381165919282511,365.0,Not flagged,True,25.35,11.0,1.821352,pair_3010,mutated,6.25,ds6,dupC
,Negative,,,,False,285.19,88.0,3.221332,pair_3011,normal,75.0,ds75,dupC
,Negative,,,,False,192.53,60.0,3.062324,pair_3011,normal,50.0,ds50,dupC
,Negative,,,,False,97.5,31.0,2.565829,pair_3011,normal,25.0,ds25,dupC
,Negative,,,,False,50.61,18.0,2.13929,pair_3011,normal,12.5,ds12,dupC
,Negative,,,,False,26.85,9.0,1.50294,pair_3011,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0100111234705228,383.0,Not flagged,True,285.82,85.0,2.814127,pair_3011,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0090981644054269,381.0,Not flagged,True,194.06,58.0,2.516702,pair_3011,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0229693046565044,382.0,Not flagged,True,97.98,30.0,2.913913,pair_3011,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0194585448392555,389.0,Not flagged,True,49.19,16.0,2.674273,pair_3011,mutated,12.5,ds12,dupC
,Negative,,,,False,26.08,8.0,1.49139,pair_3011,mutated,6.25,ds6,dupC
,Negative,,,,False,280.53,101.0,3.404394,pair_3012,normal,75.0,ds75,dupC
,Negative,,,,False,189.5,69.0,2.683845,pair_3012,normal,50.0,ds50,dupC
,Negative,,,,False,95.68,36.0,2.34446,pair_3012,normal,25.0,ds25,dupC
,Negative,,,,False,49.1,18.0,2.063309,pair_3012,normal,12.5,ds12,dupC
,Negative,,,,False,26.44,9.0,1.414757,pair_3012,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0056442195406773,380.0,Not flagged,True,279.82,87.0,3.44859,pair_3012,mutated,75.0,ds75,dupC
,Negative,,,,False,188.29,59.0,2.639923,pair_3012,mutated,50.0,ds50,dupC
,Negative,,,,False,95.36,32.0,2.360324,pair_3012,mutated,25.0,ds25,dupC
,Negative,,,,False,47.54,17.0,2.428854,pair_3012,mutated,12.5,ds12,dupC
,Negative,,,,False,25.02,9.0,1.925772,pair_3012,mutated,6.25,ds6,dupC
,Negative,,,,False,279.59,116.0,2.657671,pair_3013,normal,75.0,ds75,dupC
,Negative,,,,False,189.86,77.0,2.345373,pair_3013,normal,50.0,ds50,dupC
,Negative,,,,False,96.01,40.0,2.597945,pair_3013,normal,25.0,ds25,dupC
,Negative,,,,False,48.79,21.0,2.394679,pair_3013,normal,12.5,ds12,dupC
,Negative,,,,False,26.43,10.0,1.820077,pair_3013,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0132721612321808,378.0,Not flagged,True,275.77,112.5,3.611292,pair_3013,mutated,75.0,ds75,dupC
Insertion,High_Precision,0.008125362739408,361.0,Not flagged,True,185.51,77.0,3.220764,pair_3013,mutated,50.0,ds50,dupC
Insertion,High_Precision,0.0086976424811169,179.0,Not flagged,True,93.4,37.0,2.965664,pair_3013,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0119209809264305,382.0,Not flagged,True,47.16,20.0,2.51859,pair_3013,mutated,12.5,ds12,dupC
,Negative,,,,False,25.6,10.0,1.90641,pair_3013,mutated,6.25,ds6,dupC
,Negative,,,,False,282.46,82.0,3.25524,pair_3014,normal,75.0,ds75,dupC
,Negative,,,,False,191.81,56.0,3.172424,pair_3014,normal,50.0,ds50,dupC
,Negative,,,,False,96.91,27.0,2.898345,pair_3014,normal,25.0,ds25,dupC
,Negative,,,,False,48.65,14.0,2.376849,pair_3014,normal,12.5,ds12,dupC
,Negative,,,,False,25.45,8.0,1.642536,pair_3014,normal,6.25,ds6,dupC
,Negative,,,,False,280.11,91.0,2.704515,pair_3014,mutated,75.0,ds75,dupC
,Negative,,,,False,192.4,61.0,2.226467,pair_3014,mutated,50.0,ds50,dupC
,Negative,,,,False,98.58,30.0,2.446939,pair_3014,mutated,25.0,ds25,dupC
,Negative,,,,False,49.43,12.0,2.542272,pair_3014,mutated,12.5,ds12,dupC
,Negative,,,,False,27.23,7.0,1.626309,pair_3014,mutated,6.25,ds6,dupC
,Negative,,,,False,274.79,124.0,2.285829,pair_3015,normal,75.0,ds75,dupC
,Negative,,,,False,185.49,85.0,2.133549,pair_3015,normal,50.0,ds50,dupC
,Negative,,,,False,94.14,46.0,2.013821,pair_3015,normal,25.0,ds25,dupC
,Negative,,,,False,47.54,23.0,1.712207,pair_3015,normal,12.5,ds12,dupC
,Negative,,,,False,25.51,13.0,1.692844,pair_3015,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0213010938399539,388.0,Not flagged,True,276.17,123.0,2.726216,pair_3015,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0244961240310077,388.0,Not flagged,True,185.49,80.0,2.286467,pair_3015,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0466694951209164,389.0,Not flagged,True,92.73,44.0,2.363361,pair_3015,mutated,25.0,ds25,dupC
Insertion,High_Precision*,0.0439786272092067,385.0,Not flagged,True,47.25,25.0,2.338646,pair_3015,mutated,12.5,ds12,dupC
Insertion,High_Precision,0.0275482093663911,384.0,Not flagged,True,25.65,12.0,2.210911,pair_3015,mutated,6.25,ds6,dupC
,Negative,,,,False,273.91,107.0,3.422603,pair_3016,normal,75.0,ds75,dupC
,Negative,,,,False,185.66,69.0,3.175955,pair_3016,normal,50.0,ds50,dupC
,Negative,,,,False,93.65,37.0,2.597667,pair_3016,normal,25.0,ds25,dupC
,Negative,,,,False,47.14,18.0,1.852875,pair_3016,normal,12.5,ds12,dupC
,Negative,,,,False,25.47,11.0,1.384752,pair_3016,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0189862393311269,391.0,Not flagged,True,271.34,104.0,3.114247,pair_3016,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0178094390026714,391.0,Not flagged,True,184.95,70.0,2.638247,pair_3016,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0319351763584366,348.0,Not flagged,True,92.97,34.0,2.177159,pair_3016,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0385674931129476,349.0,Not flagged,True,47.84,18.0,2.195643,pair_3016,mutated,12.5,ds12,dupC
,Negative,,,,False,25.99,10.0,2.059202,pair_3016,mutated,6.25,ds6,dupC
,Negative,,,,False,268.08,126.0,3.540072,pair_3017,normal,75.0,ds75,dupC
,Negative,,,,False,179.41,85.0,3.330238,pair_3017,normal,50.0,ds50,dupC
,Negative,,,,False,88.58,38.0,3.121986,pair_3017,normal,25.0,ds25,dupC
,Negative,,,,False,44.45,21.0,2.250092,pair_3017,normal,12.5,ds12,dupC
,Negative,,,,False,24.42,12.0,1.678409,pair_3017,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0230308613542146,359.0,Not flagged,True,277.75,131.0,3.300976,pair_3017,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0180904522613065,359.0,Not flagged,True,187.65,88.0,2.906897,pair_3017,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0337552742616033,360.0,Not flagged,True,94.8,47.0,2.579187,pair_3017,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0392712550607287,343.0,Not flagged,True,49.01,23.0,2.314056,pair_3017,mutated,12.5,ds12,dupC
Insertion,High_Precision,0.0286241920590951,354.0,Not flagged,True,26.19,13.0,2.202461,pair_3017,mutated,6.25,ds6,dupC
,Negative,,,,False,273.69,130.0,3.337885,pair_3018,normal,75.0,ds75,dupC
,Negative,,,,False,183.39,86.0,2.801988,pair_3018,normal,50.0,ds50,dupC
,Negative,,,,False,91.85,42.0,2.882522,pair_3018,normal,25.0,ds25,dupC
,Negative,,,,False,47.18,23.0,2.298264,pair_3018,normal,12.5,ds12,dupC
,Negative,,,,False,24.49,12.0,1.755268,pair_3018,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0201856357574119,384.0,Not flagged,True,267.23,133.0,2.615677,pair_3018,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0255591054313099,384.0,Not flagged,True,182.57,91.0,2.436709,pair_3018,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0332313965341488,384.0,Not flagged,True,91.89,45.0,2.660281,pair_3018,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0365853658536585,383.0,Not flagged,True,47.93,23.0,2.677845,pair_3018,mutated,12.5,ds12,dupC
Insertion,High_Precision,0.0307692307692307,384.0,Not flagged,True,25.57,12.0,2.488101,pair_3018,mutated,6.25,ds6,dupC
,Negative,,,,False,278.28,133.0,2.439487,pair_3019,normal,75.0,ds75,dupC
,Negative,,,,False,186.15,89.0,2.248054,pair_3019,normal,50.0,ds50,dupC
,Negative,,,,False,93.88,45.0,2.236871,pair_3019,normal,25.0,ds25,dupC
,Negative,,,,False,48.75,26.0,2.072457,pair_3019,normal,12.5,ds12,dupC
,Negative,,,,False,26.3,12.0,1.841235,pair_3019,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0429601564409679,347.0,Not flagged,True,277.27,133.0,2.516811,pair_3019,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.059599583381553,358.0,Not flagged,True,188.33,89.0,2.567537,pair_3019,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0610318331503841,385.0,Not flagged,True,94.96,46.0,2.514973,pair_3019,mutated,25.0,ds25,dupC
Insertion,High_Precision*,0.0585664335664335,384.0,Not flagged,True,48.04,21.0,2.539526,pair_3019,mutated,12.5,ds12,dupC
Insertion,High_Precision,0.0597826086956521,357.0,Not flagged,True,25.59,10.0,1.727619,pair_3019,mutated,6.25,ds6,dupC
,Negative,,,,False,275.92,113.0,2.384555,pair_3020,normal,75.0,ds75,dupC
,Negative,,,,False,188.09,80.0,1.831341,pair_3020,normal,50.0,ds50,dupC
,Negative,,,,False,97.92,40.0,1.60036,pair_3020,normal,25.0,ds25,dupC
,Negative,,,,False,50.48,20.0,1.674823,pair_3020,normal,12.5,ds12,dupC
,Negative,,,,False,26.95,13.0,1.487488,pair_3020,normal,6.25,ds6,dupC
Insertion,High_Precision,0.0076548364648573,333.0,Not flagged,True,274.1,102.0,3.560166,pair_3020,mutated,75.0,ds75,dupC
Insertion,High_Precision,0.0083786564750845,333.0,Not flagged,True,185.23,69.0,3.713834,pair_3020,mutated,50.0,ds50,dupC
,Negative,,,,False,93.47,34.0,2.995317,pair_3020,mutated,25.0,ds25,dupC
,Negative,,,,False,48.88,18.0,2.041003,pair_3020,mutated,12.5,ds12,dupC
,Negative,,,,False,25.92,9.0,1.728805,pair_3020,mutated,6.25,ds6,dupC
,Negative,,,,False,271.84,123.0,3.179619,pair_3021,normal,75.0,ds75,dupC
,Negative,,,,False,185.63,80.0,2.600729,pair_3021,normal,50.0,ds50,dupC
,Negative,,,,False,93.58,37.0,2.285705,pair_3021,normal,25.0,ds25,dupC
,Negative,,,,False,47.9,21.0,2.100696,pair_3021,normal,12.5,ds12,dupC
,Negative,,,,False,26.99,12.0,1.963741,pair_3021,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0286068839396512,344.0,Not flagged,True,274.53,136.0,2.687504,pair_3021,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0332858438026162,344.0,Not flagged,True,186.76,95.0,2.513462,pair_3021,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0494214079074252,347.0,Not flagged,True,92.93,47.0,2.330986,pair_3021,mutated,25.0,ds25,dupC
Insertion,High_Precision*,0.0536912751677852,351.0,Not flagged,True,47.5,24.0,2.312056,pair_3021,mutated,12.5,ds12,dupC
Insertion,High_Precision,0.0321324245374878,346.0,Not flagged,True,25.9,13.0,1.696317,pair_3021,mutated,6.25,ds6,dupC
,Negative,,,,False,274.08,127.0,2.468506,pair_3022,normal,75.0,ds75,dupC
,Negative,,,,False,186.3,84.0,2.275623,pair_3022,normal,50.0,ds50,dupC
,Negative,,,,False,94.63,42.0,2.248234,pair_3022,normal,25.0,ds25,dupC
,Negative,,,,False,48.24,21.0,2.160264,pair_3022,normal,12.5,ds12,dupC
,Negative,,,,False,25.31,10.0,1.660054,pair_3022,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0322709163346613,381.0,Not flagged,True,242.7,112.0,3.455042,pair_3022,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0305992765666243,383.0,Not flagged,True,167.3,80.0,3.218385,pair_3022,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0269897557131599,383.0,Not flagged,True,86.19,38.0,3.381413,pair_3022,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.021970705725699,383.0,Not flagged,True,45.66,19.0,2.947382,pair_3022,mutated,12.5,ds12,dupC
Insertion,Low_Precision,0.026281208935611,383.0,Not flagged,True,24.36,10.0,2.266484,pair_3022,mutated,6.25,ds6,dupC
,Negative,,,,False,255.22,156.0,3.527414,pair_3023,normal,75.0,ds75,dupC
,Negative,,,,False,171.91,105.0,3.209922,pair_3023,normal,50.0,ds50,dupC
,Negative,,,,False,84.8,50.0,2.292562,pair_3023,normal,25.0,ds25,dupC
,Negative,,,,False,42.15,25.0,1.932002,pair_3023,normal,12.5,ds12,dupC
,Negative,,,,False,21.68,13.0,1.98549,pair_3023,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0354573218075469,382.0,Not flagged,True,261.65,160.0,2.539543,pair_3023,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0494715538565324,383.0,Not flagged,True,180.29,116.0,2.208903,pair_3023,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0411663807890223,382.0,Not flagged,True,90.04,59.0,2.321053,pair_3023,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0425155004428697,382.0,Not flagged,True,45.37,30.0,2.356862,pair_3023,mutated,12.5,ds12,dupC
Insertion,High_Precision,0.0357497517378351,377.0,Not flagged,True,24.33,15.0,2.287006,pair_3023,mutated,6.25,ds6,dupC
,Negative,,,,False,267.51,106.0,3.439021,pair_3024,normal,75.0,ds75,dupC
,Negative,,,,False,181.21,73.0,3.128925,pair_3024,normal,50.0,ds50,dupC
,Negative,,,,False,94.63,39.0,2.189598,pair_3024,normal,25.0,ds25,dupC
,Negative,,,,False,47.14,19.0,1.55655,pair_3024,normal,12.5,ds12,dupC
,Negative,,,,False,25.02,9.0,1.275129,pair_3024,normal,6.25,ds6,dupC
Insertion,High_Precision*,0.0137942496260594,334.0,Not flagged,True,279.21,108.0,2.835433,pair_3024,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.014484404575755,331.0,Not flagged,True,187.49,71.0,2.209517,pair_3024,mutated,50.0,ds50,dupC
Insertion,High_Precision*,0.0270333255651363,354.0,Not flagged,True,93.49,38.0,2.257961,pair_3024,mutated,25.0,ds25,dupC
Insertion,High_Precision,0.0206333973128598,365.0,Not flagged,True,48.45,20.0,1.951841,pair_3024,mutated,12.5,ds12,dupC
,Negative,,,,False,26.38,11.0,1.444553,pair_3024,mutated,6.25,ds6,dupC
,Negative,,,,False,275.39,88.0,3.316394,pair_3025,normal,75.0,ds75,dupC
,Negative,,,,False,191.18,64.0,2.980896,pair_3025,normal,50.0,ds50,dupC
,Negative,,,,False,95.06,33.0,2.092543,pair_3025,normal,25.0,ds25,dupC
,Negative,,,,False,49.62,19.0,1.759766,pair_3025,normal,12.5,ds12,dupC
,Negative,,,,False,26.65,9.0,1.693741,pair_3025,normal,6.25,ds6,dupC
Insertion,High_Precision,0.007385405795938,388.0,Not flagged,True,285.23,87.0,2.756351,pair_3025,mutated,75.0,ds75,dupC
Insertion,High_Precision*,0.0127005347593582,387.0,Not flagged,True,193.12,60.0,2.318908,pair_3025,mutated,50.0,ds50,dupC
Insertion,High_Precision,0.0208683137443031,389.0,Not flagged,True,100.06,30.0,2.730732,pair_3025,mutated,25.0,ds25,dupC
